Clicks,Impressions,CreationDate,EndDate,PeopleWhoMatch,AdSpend,AdSpendCurrency
12,89,08/04/15 06:19:31 AM PDT,08/06/15 06:19:31 AM PDT,LGBT United,1541,RUB
588,5012,08/06/15 03:26:51 AM PDT,08/08/15 03:26:50 AM PDT,LGBT United,700,RUB
53,398,08/18/15 08:18:33 AM PDT,08/19/15 08:18:32 AM PDT,LGBT United,11095,RUB
93,612,08/06/15 07:42:24 AM PDT,08/08/15 07:42:24 AM PDT,LGBT United,19873,RUB
29,219,08/06/15 07:43:06 AM PDT,08/07/15 07:43:05 AM PDT,LGBT United,8286,RUB
2,12,08/14/15 08:16:53 AM PDT,08/17/15 08:16:52 AM PDT,LGBT United,385,RUB
36,259,08/20/15 07:42:15 AM PDT,08/21/15 09:32:36 AM PDT,Black Matters,7405,RUB
951,8111,09/01/15 07:44:55 AM PDT,09/03/15 07:44:00 AM PDT,LGBT United,500,RUB
135,1209,09/09/15 08:07:30 AM PDT,09/11/15 08:07:29 AM PDT,Black Matters,26969,RUB
8,56,09/09/15 08:06:58 AM PDT,09/11/15 08:06:57 AM PDT,Black Matters,774,RUB
12,53,09/09/15 08:06:26 AM PDT,09/11/15 08:06:25 AM PDT,Black Matters,1101,RUB
91,766,09/09/15 08:05:55 AM PDT,09/10/15 08:05:54 AM PDT,Black Matters,14357,RUB
86,929,09/09/15 08:05:34 AM PDT,09/10/15 08:05:33 AM PDT,Black Matters,21715,RUB
91,759,09/09/15 08:05:05 AM PDT,09/10/15 08:05:05 AM PDT,Black Matters,29406,RUB
119,922,09/09/15 08:04:38 AM PDT,09/10/15 08:04:37 AM PDT,Black Matters,29463,RUB
7,89,09/09/15 08:04:12 AM PDT,09/10/15 08:04:12 AM PDT,Black Matters,28716,RUB
0,17,09/23/15 02:52:24 AM PDT,09/26/15 02:52:24 AM PDT,Black Matters,259,RUB
268,1813,09/10/15 03:48:38 AM PDT,09/11/15 03:48:37 AM PDT,Being Patriotic,39565,RUB
0,0,09/11/15 02:17:08 AM PDT,09/14/15 02:17:08 AM PDT,Being Patriotic,,
222,1318,09/17/15 07:28:27 AM PDT,09/18/15 07:28:26 AM PDT,Being Patriotic,35116,RUB
0,0,09/11/15 02:16:46 AM PDT,09/14/15 02:16:46 AM PDT,Being Patriotic,,
3712,26300,09/08/15 07:46:14 AM PDT,09/12/15 07:46:08 AM PDT,Being Patriotic,6000,RUB
154,905,09/09/15 07:21:52 AM PDT,09/10/15 07:21:51 AM PDT,LGBT United,29942,RUB
197,1406,09/09/15 07:22:25 AM PDT,09/10/15 07:22:24 AM PDT,LGBT United,29739,RUB
153,1185,09/09/15 07:21:21 AM PDT,,LGBT United,29889,RUB
1037,10377,09/09/15 07:22:45 AM PDT,09/12/15 07:22:00 AM PDT,LGBT United,1000,RUB
121,1378,09/25/15 05:47:13 AM PDT,09/26/15 05:47:12 AM PDT,Blacktivist,400,RUB
202,2101,09/14/15 07:08:55 AM PDT,09/16/15 07:08:53 AM PDT,Being Patriotic,100237,RUB
21,134,10/08/15 12:39:35 AM PDT,10/10/15 12:39:35 AM PDT,Being Patriotic,12046,RUB
541,7341,10/09/15 07:01:29 AM PDT,10/11/15 07:01:28 AM PDT,Black Matters,800,RUB
1016,11134,10/21/15 07:59:43 AM PDT,10/22/15 07:59:42 AM PDT,Black Matters,299822,RUB
